,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
90031,"13,730","31,171","13,166","363,200","12,087","316,765","3,688","3,266","8,175","25,589","2,117",0,"2,296"
"Under $10,000        ","3,104","5,030","1,424","13,661","2,327","13,528",447,238,"1,057",634,685,0,57
"$10,000 under $25,000","5,331","12,634","5,723","89,508","4,732","76,833",996,658,"2,818","2,916",773,0,370
"$25,000 under $50,000","3,675","9,293","4,294","127,714","3,489","117,852","1,216",930,"2,739","6,717",402,0,870
"$50,000 under $75,000","1,051","2,777","1,216","63,371","1,006","57,598",591,588,995,"5,400",136,0,547
"$75,000 under $100,000",316,819,306,"26,967",300,"23,678",233,356,313,"2,890",56,0,229
"$100,000 or more     ",253,618,203,"41,979",233,"27,276",205,496,253,"7,032",65,0,223
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90032,"17,423","39,065","16,348","547,545","15,314","472,520","5,224","4,748","11,380","37,650","2,550",0,"4,469"
"Under $10,000        ","3,275","5,126","1,418","17,214","2,433","14,221",500,321,"1,208",651,752,0,114
"$10,000 under $25,000","5,838","12,600","5,512","99,951","5,054","83,216","1,138",962,"3,286","3,468",881,0,556
"$25,000 under $50,000","5,184","12,631","5,718","183,651","4,900","167,905","1,687","1,129","3,899","9,471",506,0,"1,637"
"$50,000 under $75,000","1,947","5,221","2,247","117,410","1,830","104,462","1,059",868,"1,811","8,919",244,0,"1,174"
"$75,000 under $100,000",741,"2,220",967,"63,467",696,"56,034",492,573,738,"5,913",87,0,584
"$100,000 or more     ",438,"1,267",486,"65,852",401,"46,682",348,895,438,"9,228",80,0,404
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90033,"14,411","36,107","17,602","345,457","12,594","297,580","2,361","2,254","7,623","19,091","2,201",0,"1,969"
"Under $10,000        ","3,201","5,768","2,119","17,250","2,254","13,057",279,175,"1,221",762,909,0,64
"$10,000 under $25,000","6,295","15,796","8,031","107,004","5,657","93,832",732,614,"2,964","2,920",872,0,408
"$25,000 under $50,000","3,809","11,208","5,881","130,471","3,665","123,039",795,500,"2,408","5,248",294,0,870
"$50,000 under $75,000",797,"2,488","1,222","47,158",751,"42,786",345,357,726,"3,229",72,0,395
"$75,000 under $100,000",190,549,238,"16,009",173,"13,621",115,217,187,"1,602",31,0,127
"$100,000 or more     ",119,298,111,"27,565",94,"11,245",95,391,117,"5,330",23,0,105
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90034,"27,398","46,783","12,747","1,325,936","23,709","1,021,916","11,052","23,140","21,967","176,871","5,992",*         ,"7,945"
"Under $10,000        ","4,577","5,895",948,"9,752","3,022","17,814","1,186","1,020","1,837","1,019","1,399",*         ,235
"$10,000 under $25,000","6,838","11,160","3,277","119,323","5,884","99,910","1,724","2,304","5,033","6,054","1,447",0,767
"$25,000 under $50,000","8,250","13,888","3,997","300,231","7,712","271,952","2,898","3,422","7,452","24,812","1,376",0,"1,941"
"$50,000 under $75,000","3,698","6,665","1,791","224,940","3,442","198,225","2,050","2,853","3,627","25,532",697,0,"1,706"
"$75,000 under $100,000","1,685","3,478",973,"145,301","1,581","125,338","1,174","2,127","1,677","18,202",379,*         ,"1,184"
"$100,000 or more     ","2,350","5,697","1,761","526,389","2,068","308,677","2,020","11,414","2,341","101,252",694,*         ,"2,112"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90035,"13,080","22,790","5,986","988,837","10,084","593,226","7,243","42,549","10,834","154,167","3,745",0,"5,679"
"Under $10,000        ","2,283","2,911",399,"-6,409","1,281","8,446",952,"1,625",927,638,750,0,162
"$10,000 under $25,000","2,507","3,821",898,"43,404","1,816","29,556",955,"2,364","1,954","2,664",750,0,441
"$25,000 under $50,000","3,162","5,059","1,300","116,143","2,658","89,802","1,449","4,133","2,909","10,156",762,0,"1,101"
"$50,000 under $75,000","1,788","3,139",847,"110,181","1,527","84,469","1,098","3,302","1,731","12,627",458,0,"1,028"
"$75,000 under $100,000","1,015","2,009",547,"87,295",839,"63,693",751,"2,562",995,"10,941",299,0,786
"$100,000 or more     ","2,325","5,851","1,995","638,223","1,963","317,260","2,038","28,563","2,318","117,141",726,0,"2,161"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90036,"17,753","28,135","6,221","1,451,895","14,179","888,624","9,122","40,055","15,174","250,645","5,092",*         ,"7,394"
"Under $10,000        ","2,883","3,495",374,"-13,085","1,590","10,925","1,113","1,772","1,183",829,"1,001",0,182
"$10,000 under $25,000","3,133","4,338",802,"54,453","2,396","39,024","1,180","2,232","2,598","3,464",990,0,547
"$25,000 under $50,000","4,492","6,484","1,306","165,226","3,902","134,719","1,836","3,353","4,238","15,843","1,133",0,"1,450"
"$50,000 under $75,000","2,786","4,480","1,004","170,787","2,442","136,453","1,606","4,094","2,721","21,322",740,0,"1,480"
"$75,000 under $100,000","1,582","2,940",780,"137,014","1,377","108,038","1,018","3,011","1,566","18,965",402,0,"1,155"
"$100,000 or more     ","2,877","6,398","1,955","937,500","2,472","459,465","2,369","25,593","2,868","190,222",826,*         ,"2,580"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90037,"18,606","45,161","22,335","400,179","16,073","353,029","2,895","1,188","9,716","17,673","3,493",0,"3,040"
"Under $10,000        ","4,335","7,736","3,019","21,244","3,081","18,346",328,129,"1,712","1,175","1,388",0,114
"$10,000 under $25,000","8,548","21,020","10,887","144,730","7,544","124,797",915,337,"4,004","4,398","1,517",0,757
"$25,000 under $50,000","4,569","12,846","6,647","155,523","4,363","144,488","1,089",404,"2,941","6,001",457,0,"1,425"
"$50,000 under $75,000",908,"2,800","1,432","53,887",863,"47,714",413,247,815,"3,560",96,0,547
"$75,000 under $100,000",171,520,235,"14,451",162,"12,688",93,39,169,"1,300",21,0,137
"$100,000 or more     ",75,239,115,"10,344",60,"4,996",57,32,75,"1,239",14,0,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90038,"11,609","21,975","7,866","331,318","9,941","278,575","2,479","3,665","8,089","32,099","2,945",*         ,"1,849"
"Under $10,000        ","2,763","3,986",973,"12,593","1,780","10,767",323,259,"1,349",885,"1,169",0,68
"$10,000 under $25,000","4,416","8,753","3,531","75,085","3,931","64,702",614,591,"2,898","3,199",977,0,294
"$25,000 under $50,000","3,042","6,468","2,532","105,970","2,928","98,044",769,715,"2,483","7,178",487,0,636
"$50,000 under $75,000",827,"1,654",537,"49,897",779,"44,660",389,422,801,"5,400",164,0,391
"$75,000 under $100,000",259,524,158,"22,080",251,"19,663",150,207,257,"2,752",63,0,197
"$100,000 or more     ",302,590,135,"65,693",272,"40,739",234,"1,471",301,"12,685",85,*         ,263
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90039,"14,171","25,511","7,438","725,000","11,804","547,734","6,394","11,701","11,205","93,553","3,521",*         ,"5,512"
"Under $10,000        ","2,281","2,953",449,"1,934","1,408","8,582",625,651,923,587,792,0,143
"$10,000 under $25,000","3,440","6,011","1,939","59,517","2,800","46,429",971,"1,246","2,404","2,828",800,0,532
"$25,000 under $50,000","3,890","7,162","2,318","141,016","3,515","120,997","1,509","1,851","3,391","10,662",724,*         ,"1,302"
"$50,000 under $75,000","1,942","3,821","1,191","118,884","1,733","98,247","1,181","1,963","1,884","12,330",419,0,"1,187"
"$75,000 under $100,000","1,091","2,288",685,"94,377",988,"76,486",811,"1,255","1,082","10,913",280,0,901
"$100,000 or more     ","1,527","3,276",856,"309,272","1,360","196,993","1,297","4,735","1,521","56,233",506,*         ,"1,447"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90040,"4,636","11,154","5,027","168,674","4,103","130,743","1,335","2,404","2,953","15,669",614,0,"1,180"
"Under $10,000        ",783,"1,308",416,"3,898",579,"3,528",108,78,256,144,151,0,26
"$10,000 under $25,000","1,599","3,527","1,601","27,971","1,405","23,913",306,225,883,902,208,0,159
"$25,000 under $50,000","1,475","3,826","1,813","52,431","1,385","47,564",467,413,"1,079","2,569",147,0,453
"$50,000 under $75,000",473,"1,505",751,"28,683",455,"26,126",229,222,430,"1,916",53,0,287
"$75,000 under $100,000",165,566,268,"14,021",154,"12,386",115,73,164,"1,209",30,0,129
"$100,000 or more     ",141,422,178,"41,670",125,"17,226",110,"1,393",141,"8,929",25,0,126
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90041,"12,043","23,460","7,499","575,027","10,165","457,036","5,393","8,069","9,438","61,184","2,482",0,"4,787"
"Under $10,000        ","2,064","2,667",402,"7,015","1,412","8,029",443,344,794,439,525,0,96
"$10,000 under $25,000","2,763","4,699","1,446","47,615","2,200","36,614",751,934,"1,963","2,205",519,0,409
"$25,000 under $50,000","3,218","6,206","2,156","116,479","2,887","99,842","1,273","1,323","2,761","7,986",513,0,"1,135"
"$50,000 under $75,000","1,713","3,879","1,383","105,231","1,563","90,090","1,043","1,494","1,645","9,367",341,0,"1,097"
"$75,000 under $100,000",978,"2,430",836,"84,461",913,"71,606",738,"1,000",971,"8,382",216,0,808
"$100,000 or more     ","1,307","3,579","1,276","214,226","1,190","150,855","1,145","2,974","1,304","32,805",368,0,"1,242"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90042,"24,321","52,279","20,697","853,979","21,193","725,855","7,996","8,432","16,779","72,398","4,696",0,"7,512"
"Under $10,000        ","4,478","6,956","1,966","19,237","3,136","18,294",721,507,"1,819","1,069","1,360",0,185
"$10,000 under $25,000","7,516","16,040","6,992","128,809","6,486","107,251","1,365","1,294","4,378","4,704","1,341",0,845
"$25,000 under $50,000","6,990","16,275","6,976","247,965","6,564","225,125","2,351","1,722","5,432","13,940",974,0,"2,420"
"$50,000 under $75,000","2,929","7,089","2,766","178,278","2,761","157,822","1,703","1,623","2,762","14,978",464,0,"1,941"
"$75,000 under $100,000","1,300","3,192","1,132","111,273","1,224","96,731",922,992,"1,282","11,508",260,0,"1,088"
"$100,000 or more     ","1,108","2,727",865,"168,417","1,022","120,632",934,"2,294","1,106","26,199",297,0,"1,033"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90043,"18,069","36,952","14,997","683,650","14,945","535,336","6,202","6,235","12,164","56,281","3,379",*         ,"7,145"
"Under $10,000        ","3,201","5,165","1,732","13,404","2,282","13,627",482,364,"1,088",718,858,0,196
"$10,000 under $25,000","5,455","10,992","4,869","92,900","4,402","73,075",996,801,"3,023","3,123","1,005",0,896
"$25,000 under $50,000","5,103","10,791","4,677","182,694","4,474","153,677","1,743","1,155","3,916","9,278",657,0,"2,371"
"$50,000 under $75,000","2,211","4,829","1,910","134,059","1,936","107,346","1,283","1,186","2,062","10,099",343,*         ,"1,725"
"$75,000 under $100,000","1,002","2,281",790,"86,057",890,"67,446",758,"1,006",981,"7,909",228,0,907
"$100,000 or more     ","1,097","2,894","1,019","174,536",961,"120,165",940,"1,723","1,094","25,154",288,0,"1,050"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90044,"28,725","68,666","34,110","693,912","24,942","598,261","5,281","2,452","15,226","33,108","4,919",0,"6,238"
"Under $10,000        ","6,135","11,235","4,638","34,326","4,570","26,926",492,170,"2,161","1,454","1,721",0,191
"$10,000 under $25,000","12,296","29,673","15,507","207,916","10,760","177,558","1,430",498,"5,608","5,919","2,129",0,"1,292"
"$25,000 under $50,000","7,739","20,769","10,754","267,758","7,226","242,071","2,011",865,"5,073","10,538",775,0,"2,821"
"$50,000 under $75,000","1,828","5,026","2,412","109,393","1,722","96,784",876,455,"1,665","7,213",192,0,"1,299"
"$75,000 under $100,000",491,"1,324",545,"41,918",455,"34,343",294,210,484,"3,844",67,0,422
"$100,000 or more     ",236,639,254,"32,601",209,"20,579",178,254,235,"4,140",35,0,213
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90045,"16,951","31,846","8,934","1,216,818","13,697","898,764","9,641","27,384","14,100","180,017","3,619",15,"8,336"
"Under $10,000        ","2,504","3,072",410,"-11,192","1,562","9,884",868,"1,180",925,508,568,0,185
"$10,000 under $25,000","2,766","4,214","1,046","47,771","2,074","34,898",974,"1,886","1,993","2,257",539,0,465
"$25,000 under $50,000","3,901","6,521","1,851","144,071","3,259","115,162","1,677","3,436","3,503","11,042",679,*         ,"1,382"
"$50,000 under $75,000","2,475","4,675","1,307","152,605","2,093","118,827","1,559","3,307","2,393","15,495",496,*         ,"1,520"
"$75,000 under $100,000","1,660","3,705","1,101","143,927","1,438","110,170","1,313","2,963","1,645","15,678",381,*         ,"1,330"
"$100,000 or more     ","3,645","9,659","3,219","739,636","3,271","509,823","3,250","14,612","3,641","135,037",956,15,"3,454"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90046,"25,984","34,964","4,610","1,704,085","21,340","1,195,955","11,990","38,684","22,241","294,465","8,246",11,"10,328"
"Under $10,000        ","4,525","5,241",381,"-27,274","2,670","18,949","1,546","2,858","1,914","1,377","1,938",0,336
"$10,000 under $25,000","5,570","7,002",886,"96,046","4,529","74,180","1,771","2,908","4,732","6,254","1,900",11,987
"$25,000 under $50,000","6,933","8,876","1,102","253,115","6,249","214,828","2,589","4,131","6,701","24,855","1,843",0,"2,238"
"$50,000 under $75,000","3,618","4,942",625,"220,664","3,274","183,915","1,949","3,791","3,576","27,999",930,0,"2,011"
"$75,000 under $100,000","1,780","2,688",404,"153,282","1,557","120,081","1,189","3,385","1,766","21,361",503,0,"1,402"
"$100,000 or more     ","3,558","6,215","1,212","1,008,252","3,061","584,002","2,946","21,611","3,552","212,619","1,132",*         ,"3,354"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90047,"20,086","42,193","18,283","639,841","16,989","524,263","6,128","4,221","12,712","39,813","3,127",*         ,"7,400"
"Under $10,000        ","3,537","5,752","1,991","17,513","2,631","15,299",473,289,"1,113",650,843,0,211
"$10,000 under $25,000","6,716","13,973","6,461","114,836","5,491","90,605","1,261",696,"3,492","3,438","1,123",*         ,"1,147"
"$25,000 under $50,000","6,037","13,297","6,103","216,649","5,384","185,925","1,991","1,133","4,528","10,061",678,0,"2,883"
